path    axes  conc   strain   image      delta_E     pot         d_pot 
3       1     0.50     LT      5         0.3493   -21.6550     0.7760
3       1     0.50     LT      6         0.3404   -21.6731     0.7941
3       1     0.50     LT      7         0.2765   -21.6237     0.7447
3       1     0.50     LT      8         0.2125   -21.5698     0.6908
3       1     0.50     LT      9         0.1103   -21.5444     0.6654
3       1     0.50     LT     10         0.0479   -21.5273     0.6483
    
3R      1     0.50     LT      0         0.0000   -21.5273     0.0000
3R      1     0.50     LT      1         0.0624   -21.5444     0.0171
3R      1     0.50     LT      2         0.1646   -21.5698     0.0425
3R      1     0.50     LT      3         0.2287   -21.6237     0.0964
3R      1     0.50     LT      4         0.2926   -21.6731     0.1458
3R      1     0.50     LT      5         0.3014   -21.6550     0.1277
3R      1     0.50     LT      6         0.2762   -21.4896    -0.0377
3R      1     0.50     LT      7         0.2253   -21.2595    -0.2678
3R      1     0.50     LT      8         0.1573   -21.1187    -0.4086
3R      1     0.50     LT      9         0.0415   -20.9919    -0.5354
3R      1     0.50     LT     10        -0.0479   -20.8790    -0.6483
    
3       2     0.50     LT      0         0.0000   -21.0367     0.0000
3       2     0.50     LT      1         0.0747   -21.1199     0.0832
3       2     0.50     LT      2         0.1698   -21.2115     0.1748
3       2     0.50     LT      3         0.2252   -21.3222     0.2855
3       2     0.50     LT      4         0.2643   -21.4934     0.4567
3       2     0.50     LT      5         0.2808   -21.6299     0.5932
3       2     0.50     LT      6         0.2485   -21.6451     0.6084
3       2     0.50     LT      7         0.1914   -21.5944     0.5577
3       2     0.50     LT      8         0.1202   -21.5506     0.5139
3       2     0.50     LT      9         0.0252   -21.5321     0.4954
3       2     0.50     LT     10        -0.0378   -21.5227     0.4860
    
3R      2     0.50     LT      0         0.0000   -21.5227     0.0000
3R      2     0.50     LT      1         0.0630   -21.5321     0.0094
3R      2     0.50     LT      2         0.1581   -21.5506     0.0279
3R      2     0.50     LT      3         0.2292   -21.5944     0.0717
3R      2     0.50     LT      4         0.2863   -21.6451     0.1224
3R      2     0.50     LT      5         0.3186   -21.6299     0.1072
3R      2     0.50     LT      6         0.3021   -21.4934    -0.0293
3R      2     0.50     LT      7         0.2631   -21.3222    -0.2005
3R      2     0.50     LT      8         0.2076   -21.2115    -0.3112
3R      2     0.50     LT      9         0.1125   -21.1199    -0.4028
3R      2     0.50     LT     10         0.0378   -21.0367    -0.4860
    
3       3     0.50     LT      0         0.0000   -20.8656     0.0000
3       3     0.50     LT      1         0.0897   -20.9957     0.1301
3       3     0.50     LT      2         0.2074   -21.1232     0.2576
3       3     0.50     LT      3         0.2753   -21.2680     0.4024
3       3     0.50     LT      4         0.3261   -21.5003     0.6347
3       3     0.50     LT      5         0.3491   -21.6609     0.7953
3       3     0.50     LT      6         0.3377   -21.6726     0.8070
3       3     0.50     LT      7         0.2725   -21.6191     0.7535
3       3     0.50     LT      8         0.1949   -21.5706     0.7050
3       3     0.50     LT      9         0.1061   -21.5450     0.6794
3       3     0.50     LT     10         0.0480   -21.5275     0.6619
    
3R      3     0.50     LT      0         0.0000   -21.5275     0.0000
3R      3     0.50     LT      1         0.0581   -21.5450     0.0175
3R      3     0.50     LT      2         0.1470   -21.5706     0.0431
3R      3     0.50     LT      3         0.2245   -21.6191     0.0916
3R      3     0.50     LT      4         0.2897   -21.6726     0.1451
3R      3     0.50     LT      5         0.3011   -21.6609     0.1334
3R      3     0.50     LT      6         0.2781   -21.5003    -0.0272
3R      3     0.50     LT      7         0.2274   -21.2680    -0.2595
3R      3     0.50     LT      8         0.1594   -21.1232    -0.4043
3R      3     0.50     LT      9         0.0417   -20.9957    -0.5318
3R      3     0.50     LT     10        -0.0480   -20.8656    -0.6619
    
